time,small,large,probability,intensity
0.0,0.0,0.0,0.384,0.43453
1.0,0.0,0.0,0.38,0.44287
2.0,0.0,0.0,0.378,0.44602
3.0,0.0,0.0,0.381,0.43134
4.0,0.0,0.0,0.387,0.4354
5.0,0.0,0.0,0.376,0.44637
6.0,0.0,0.0,0.383,0.44317
7.0,0.0,0.0,0.385,0.44213
8.0,0.0,0.0,0.381,0.43774
9.0,0.0,0.0,0.378,0.44113
10.0,0.0,0.0,0.378,0.43707
11.0,0.0,0.0,0.385,0.44072
12.0,0.0,0.0,0.39,0.44154
13.0,0.0,0.0,0.379,0.44449
14.0,0.0,0.0,0.379,0.44009
15.0,0.0,0.0,0.383,0.43846
16.0,0.0,0.0,0.378,0.44358
17.0,0.0,0.0,0.38,0.43655
18.0,0.0,0.0,0.383,0.43382
19.0,0.0,0.0,0.383,0.43701
20.0,0.0,0.0,0.383,0.44253
21.0,0.0,0.0,0.392,0.43809
22.0,0.0,0.0,0.384,0.44478
23.0,0.0,0.0,0.379,0.44556
24.0,0.0,0.0,0.384,0.43502
25.0,0.0,0.0,0.381,0.44033
26.0,0.0,0.0,0.384,0.43455
27.0,0.0,0.0,0.379,0.44074
28.0,0.0,0.0,0.388,0.43566
29.0,0.0,0.0,0.384,0.43729
30.0,0.0,0.0,0.385,0.43648
31.0,0.0,0.0,0.384,0.43399
32.0,0.0,0.0,0.391,0.43084
33.0,0.0,0.0,0.392,0.42684
34.0,0.0,0.0,0.388,0.42624
35.0,0.0,0.0,0.386,0.43238
36.0,0.0,0.0,0.383,0.43296
37.0,0.0,0.0,0.388,0.43421
38.0,0.0,0.0,0.387,0.43185
39.0,0.0,0.0,0.384,0.43232
40.0,0.0,0.0,0.391,0.43161
41.0,0.0,0.0,0.393,0.43065
42.0,0.0,0.0,0.387,0.43161
43.0,0.0,0.0,0.384,0.43058
44.0,0.0,0.0,0.381,0.43094
45.0,0.0,0.0,0.386,0.43357
46.0,0.0,0.0,0.391,0.4287
47.0,0.0,0.0,0.39,0.43189
48.0,0.0,0.0,0.388,0.42827
49.0,0.0,0.0,0.386,0.43195
50.0,0.0,0.0,0.39,0.44054
51.0,0.0,0.0,0.385,0.43262
52.0,0.0,0.0,0.387,0.43432
53.0,0.0,0.0,0.386,0.43383
54.0,0.0,0.0,0.385,0.44034
55.0,0.0,0.0,0.389,0.43438
56.0,0.0,0.0,0.387,0.43603
57.0,0.0,0.0,0.387,0.43349
58.0,0.0,0.0,0.395,0.43475
59.0,0.0,0.0,0.393,0.4329
60.0,0.0,0.0,0.387,0.44126
61.0,0.0,0.0,0.386,0.43193
62.0,0.0,0.0,0.384,0.42896
63.0,0.0,0.0,0.388,0.43502
64.0,0.0,0.0,0.388,0.43207
65.0,0.0,0.0,0.389,0.43052
66.0,0.0,0.0,0.392,0.4288
67.0,0.0,0.0,0.392,0.43099
68.0,0.0,0.0,0.387,0.43316
69.0,0.0,0.0,0.387,0.43286
70.0,0.0,0.0,0.385,0.43558
71.0,0.0,0.0,0.389,0.43345
72.0,0.0,0.0,0.384,0.43264
73.0,0.0,0.0,0.384,0.43535
74.0,0.0,0.0,0.384,0.43382
75.0,0.0,0.0,0.393,0.44466
76.0,0.0,0.0,0.389,0.4471
77.0,0.0,0.0,0.395,0.43527
78.0,0.0,0.0,0.381,0.45628
79.0,0.0,0.0,0.38,0.4638
80.0,0.0,0.0,0.37,0.47222
81.0,0.0,0.0,0.378,0.47166
82.0,0.0,0.0,0.373,0.47484
83.0,0.0,0.0,0.376,0.46424
84.0,0.0,0.0,0.382,0.46333
85.0,0.0,0.0,0.377,0.47214
86.0,0.0,0.0,0.383,0.46537
87.0,0.0,0.0,0.377,0.47336
88.0,0.0,0.0,0.379,0.46485
89.0,0.0,0.0,0.388,0.45533
90.0,0.0,0.0,0.379,0.46396
91.0,0.0,0.0,0.382,0.45433
92.0,0.0,0.0,0.388,0.45542
93.0,0.0,0.0,0.379,0.46179
94.0,0.0,0.0,0.386,0.45286
95.0,0.0,0.0,0.388,0.4553
96.0,0.0,0.0,0.389,0.45131
97.0,0.0,0.0,0.392,0.43906
98.0,0.0,0.0,0.39,0.44843
99.0,0.0,0.0,0.383,0.44675
100.0,0.0,0.0,0.379,0.45339
101.0,0.0,0.0,0.383,0.45579
102.0,0.0,0.0,0.385,0.45615
103.0,0.0,0.0,0.385,0.4539
104.0,0.0,0.0,0.377,0.45414
105.0,0.0,0.0,0.383,0.45586
106.0,0.0,0.0,0.383,0.45678
107.0,0.0,0.0,0.376,0.47121
108.0,0.0,0.0,0.378,0.45581
