time,small,large,probability,intensity
3.0,1.0,0.0,0.357,0.47279
4.0,0.0,0.0,0.353,0.47419
5.0,1.0,0.0,0.351,0.47584
6.0,1.0,0.0,0.351,0.47526
7.0,0.0,0.0,0.352,0.47616
8.0,0.0,0.0,0.35,0.47514
9.0,0.0,0.0,0.356,0.46702
10.0,1.0,0.0,0.368,0.4645
11.0,1.0,0.0,0.373,0.46064
12.0,1.0,0.0,0.377,0.45382
13.0,1.0,0.0,0.381,0.45343
14.0,1.0,0.0,0.385,0.45003
15.0,1.0,0.0,0.384,0.44741
16.0,1.0,0.0,0.383,0.45165
17.0,1.0,0.0,0.383,0.44695
18.0,1.0,0.0,0.384,0.44741
19.0,1.0,0.0,0.383,0.44715
20.0,1.0,0.0,0.377,0.44349
21.0,1.0,0.0,0.396,0.44115
22.0,1.0,0.0,0.387,0.4453
23.0,1.0,0.0,0.386,0.44587
24.0,1.0,0.0,0.374,0.44622
25.0,1.0,0.0,0.377,0.45002
26.0,1.0,0.0,0.382,0.45052
27.0,1.0,0.0,0.387,0.44967
28.0,1.0,0.0,0.37,0.45451
29.0,1.0,0.0,0.379,0.45049
30.0,1.0,0.0,0.369,0.4474
31.0,1.0,0.0,0.384,0.45223
32.0,1.0,0.0,0.373,0.45864
33.0,1.0,0.0,0.373,0.45566
34.0,1.0,0.0,0.368,0.45278
35.0,1.0,0.0,0.395,0.44004
36.0,1.0,0.0,0.39,0.45192
37.0,1.0,0.0,0.379,0.45741
38.0,1.0,0.0,0.373,0.45837
39.0,1.0,0.0,0.371,0.46027
40.0,1.0,0.0,0.394,0.45114
41.0,1.0,0.0,0.392,0.44796
42.0,1.0,0.0,0.381,0.45376
43.0,1.0,0.0,0.387,0.45417
44.0,1.0,0.0,0.383,0.44312
45.0,1.0,0.0,0.368,0.44882
46.0,1.0,0.0,0.399,0.45205
47.0,1.0,0.0,0.396,0.44728
48.0,1.0,0.0,0.383,0.4465
49.0,1.0,0.0,0.38,0.44666
50.0,1.0,0.0,0.378,0.44994
51.0,1.0,0.0,0.392,0.44477
52.0,1.0,0.0,0.374,0.44308
53.0,1.0,0.0,0.385,0.44086
54.0,1.0,0.0,0.379,0.44378
55.0,1.0,0.0,0.377,0.44377
56.0,1.0,0.0,0.371,0.44505
57.0,1.0,0.0,0.375,0.44997
58.0,1.0,0.0,0.381,0.44343
59.0,1.0,0.0,0.398,0.43711
60.0,1.0,0.0,0.376,0.44636
61.0,1.0,0.0,0.39,0.44096
62.0,1.0,0.0,0.388,0.43556
63.0,1.0,0.0,0.402,0.44217
64.0,1.0,0.0,0.38,0.44698
65.0,1.0,0.0,0.383,0.44768
66.0,1.0,0.0,0.378,0.44863
67.0,1.0,0.0,0.375,0.45324
68.0,0.0,0.0,0.354,0.47303
69.0,0.0,0.0,0.361,0.46258
70.0,0.0,0.0,0.362,0.4675
71.0,0.0,0.0,0.355,0.46934
72.0,0.0,0.0,0.353,0.47836
73.0,0.0,0.0,0.351,0.47703
74.0,0.0,0.0,0.35,0.48157
75.0,0.0,0.0,0.355,0.48124
76.0,0.0,0.0,0.357,0.48216
77.0,0.0,0.0,0.359,0.47356
78.0,0.0,0.0,0.36,0.47468
79.0,0.0,0.0,0.355,0.48054
80.0,0.0,0.0,0.366,0.4767
81.0,0.0,0.0,0.36,0.47788
82.0,0.0,0.0,0.362,0.47298
83.0,0.0,0.0,0.363,0.46861
84.0,0.0,0.0,0.363,0.46317
85.0,0.0,0.0,0.361,0.46
86.0,0.0,0.0,0.365,0.45863
87.0,1.0,0.0,0.363,0.45966
88.0,0.0,0.0,0.364,0.4555
89.0,0.0,0.0,0.361,0.45884
90.0,1.0,0.0,0.371,0.44762
91.0,1.0,0.0,0.367,0.45306
92.0,0.0,0.0,0.366,0.45586
93.0,0.0,0.0,0.363,0.45642
94.0,0.0,0.0,0.362,0.46274
95.0,0.0,0.0,0.363,0.46082
96.0,0.0,0.0,0.358,0.47671
97.0,0.0,0.0,0.361,0.47761
98.0,0.0,0.0,0.36,0.47303
99.0,0.0,0.0,0.362,0.47444
100.0,0.0,0.0,0.362,0.46764
101.0,0.0,0.0,0.368,0.4618
102.0,0.0,0.0,0.368,0.463
103.0,0.0,0.0,0.364,0.46001
104.0,0.0,0.0,0.366,0.4607
105.0,0.0,0.0,0.362,0.46338
106.0,0.0,0.0,0.363,0.46108
107.0,0.0,0.0,0.362,0.45864
108.0,0.0,0.0,0.367,0.45015
109.0,1.0,0.0,0.38,0.44788
110.0,1.0,0.0,0.374,0.45174
111.0,0.0,0.0,0.364,0.45465
112.0,1.0,0.0,0.369,0.4533
113.0,0.0,0.0,0.363,0.45647
114.0,0.0,0.0,0.361,0.46119
115.0,1.0,0.0,0.366,0.45938
116.0,0.0,0.0,0.359,0.46921
117.0,0.0,0.0,0.358,0.47959
118.0,0.0,0.0,0.364,0.47553
119.0,0.0,0.0,0.361,0.47917
120.0,0.0,0.0,0.359,0.49334
121.0,0.0,0.0,0.361,0.49059
122.0,0.0,0.0,0.363,0.49434
123.0,0.0,0.0,0.36,0.49361
124.0,0.0,0.0,0.36,0.4951
125.0,0.0,0.0,0.363,0.48661
126.0,0.0,0.0,0.363,0.48952
127.0,0.0,0.0,0.36,0.4876
128.0,0.0,0.0,0.36,0.48866
129.0,0.0,0.0,0.36,0.48442
130.0,0.0,0.0,0.362,0.49119
131.0,0.0,0.0,0.359,0.48856
132.0,0.0,0.0,0.366,0.49096
133.0,0.0,0.0,0.367,0.49044
134.0,0.0,0.0,0.367,0.49487
135.0,0.0,0.0,0.364,0.49644
136.0,0.0,0.0,0.366,0.49404
137.0,0.0,1.0,0.357,0.50074
138.0,0.0,0.0,0.356,0.49819
