time,small,large,probability,intensity
0.0,0.0,1.0,0.433,0.58369
1.0,0.0,1.0,0.425,0.57653
2.0,0.0,1.0,0.436,0.58492
3.0,0.0,1.0,0.44,0.58989
4.0,0.0,1.0,0.435,0.58633
5.0,0.0,1.0,0.433,0.582
6.0,0.0,1.0,0.43,0.58061
7.0,0.0,1.0,0.435,0.58739
8.0,0.0,1.0,0.43,0.5811
9.0,0.0,1.0,0.428,0.57933
10.0,0.0,1.0,0.434,0.58389
11.0,0.0,1.0,0.426,0.57647
12.0,0.0,1.0,0.426,0.57775
13.0,0.0,1.0,0.424,0.57623
14.0,0.0,1.0,0.442,0.59194
15.0,0.0,1.0,0.434,0.58713
16.0,0.0,1.0,0.43,0.58247
17.0,0.0,1.0,0.435,0.58695
18.0,0.0,1.0,0.445,0.59594
19.0,0.0,1.0,0.452,0.59823
20.0,0.0,1.0,0.443,0.59008
21.0,0.0,1.0,0.448,0.59393
22.0,0.0,1.0,0.446,0.59361
23.0,0.0,1.0,0.446,0.59371
24.0,0.0,1.0,0.445,0.59459
25.0,0.0,1.0,0.452,0.59872
26.0,0.0,1.0,0.437,0.58562
27.0,0.0,1.0,0.449,0.595
28.0,0.0,1.0,0.448,0.59483
29.0,0.0,1.0,0.442,0.59268
30.0,0.0,1.0,0.434,0.5879
31.0,0.0,1.0,0.429,0.58372
32.0,0.0,1.0,0.427,0.58142
33.0,0.0,1.0,0.424,0.57767
34.0,0.0,1.0,0.43,0.58115
35.0,0.0,1.0,0.432,0.58264
36.0,0.0,1.0,0.421,0.57558
37.0,0.0,1.0,0.422,0.57343
38.0,0.0,1.0,0.422,0.57218
39.0,0.0,1.0,0.417,0.56906
40.0,0.0,1.0,0.422,0.57262
41.0,0.0,1.0,0.423,0.57476
42.0,0.0,1.0,0.431,0.58442
43.0,0.0,1.0,0.439,0.58632
44.0,0.0,1.0,0.438,0.5859
45.0,0.0,1.0,0.439,0.58793
46.0,0.0,1.0,0.43,0.57674
47.0,0.0,1.0,0.44,0.58869
48.0,0.0,1.0,0.44,0.59237
49.0,0.0,1.0,0.447,0.59525
50.0,0.0,1.0,0.432,0.57774
51.0,0.0,1.0,0.441,0.59023
52.0,0.0,1.0,0.439,0.58967
53.0,0.0,1.0,0.447,0.59486
54.0,0.0,1.0,0.447,0.59441
55.0,0.0,1.0,0.444,0.59229
56.0,0.0,1.0,0.448,0.59651
57.0,0.0,1.0,0.443,0.59188
58.0,0.0,1.0,0.448,0.59631
59.0,0.0,1.0,0.443,0.5953
60.0,0.0,1.0,0.452,0.60211
61.0,0.0,1.0,0.45,0.59922
62.0,0.0,1.0,0.453,0.60234
63.0,0.0,1.0,0.448,0.59812
64.0,0.0,1.0,0.445,0.59564
65.0,0.0,1.0,0.441,0.59225
66.0,0.0,1.0,0.436,0.58745
67.0,0.0,1.0,0.435,0.58518
68.0,0.0,1.0,0.434,0.58545
69.0,0.0,1.0,0.433,0.58376
70.0,0.0,1.0,0.437,0.58527
71.0,0.0,1.0,0.435,0.58609
72.0,0.0,1.0,0.44,0.59048
73.0,0.0,1.0,0.439,0.58846
74.0,0.0,1.0,0.422,0.57165
75.0,0.0,1.0,0.439,0.58755
76.0,0.0,1.0,0.439,0.5874
77.0,0.0,1.0,0.435,0.58254
78.0,0.0,1.0,0.436,0.58034
79.0,0.0,1.0,0.437,0.58645
80.0,0.0,1.0,0.431,0.57642
81.0,0.0,1.0,0.418,0.56126
82.0,0.0,1.0,0.408,0.54884
83.0,0.0,1.0,0.402,0.5403
84.0,0.0,1.0,0.407,0.54515
85.0,0.0,1.0,0.409,0.54917
86.0,0.0,1.0,0.416,0.5599
87.0,0.0,1.0,0.411,0.55509
88.0,0.0,1.0,0.413,0.55928
89.0,0.0,1.0,0.412,0.5547
90.0,0.0,1.0,0.421,0.56783
91.0,0.0,1.0,0.425,0.57147
92.0,0.0,1.0,0.428,0.57582
93.0,0.0,1.0,0.419,0.56891
94.0,0.0,1.0,0.423,0.57217
95.0,0.0,1.0,0.421,0.57076
96.0,0.0,1.0,0.429,0.57969
97.0,0.0,1.0,0.44,0.58971
98.0,0.0,1.0,0.437,0.58429
99.0,0.0,1.0,0.437,0.59044
100.0,0.0,1.0,0.427,0.58753
101.0,0.0,1.0,0.405,0.57274
102.0,0.0,1.0,0.403,0.57075
103.0,0.0,1.0,0.401,0.56914
104.0,0.0,1.0,0.41,0.57926
105.0,0.0,1.0,0.43,0.58822
106.0,0.0,1.0,0.412,0.58134
107.0,0.0,1.0,0.416,0.58289
108.0,0.0,1.0,0.414,0.58261
109.0,0.0,1.0,0.419,0.58477
110.0,0.0,1.0,0.392,0.54225
111.0,0.0,1.0,0.401,0.5405
112.0,0.0,1.0,0.431,0.59152
113.0,0.0,1.0,0.418,0.58447
114.0,0.0,1.0,0.443,0.60047
115.0,0.0,1.0,0.451,0.60531
116.0,0.0,1.0,0.431,0.5938
117.0,0.0,1.0,0.433,0.59449
118.0,0.0,1.0,0.433,0.59525
119.0,0.0,1.0,0.41,0.57861
120.0,0.0,1.0,0.41,0.57634
121.0,0.0,1.0,0.409,0.57482
122.0,0.0,1.0,0.412,0.5804
123.0,0.0,1.0,0.425,0.59132
124.0,0.0,1.0,0.431,0.59419
125.0,0.0,1.0,0.443,0.60093
126.0,0.0,1.0,0.448,0.60303
127.0,0.0,1.0,0.451,0.60456
128.0,0.0,1.0,0.437,0.59703
129.0,0.0,1.0,0.444,0.60039
130.0,0.0,1.0,0.442,0.59815
131.0,0.0,1.0,0.441,0.59692
132.0,0.0,1.0,0.411,0.57485
133.0,0.0,0.0,0.425,0.40987
134.0,0.0,1.0,0.419,0.58526
135.0,0.0,1.0,0.447,0.59832
136.0,0.0,0.0,0.474,0.36466
137.0,0.0,1.0,0.411,0.57331
138.0,0.0,1.0,0.403,0.57547
139.0,0.0,1.0,0.405,0.57775
140.0,0.0,1.0,0.423,0.58354
141.0,0.0,1.0,0.408,0.55805
142.0,0.0,1.0,0.407,0.55568
143.0,0.0,1.0,0.403,0.54346
144.0,0.0,1.0,0.426,0.59086
145.0,0.0,1.0,0.422,0.58853
146.0,0.0,1.0,0.416,0.58206
147.0,0.0,1.0,0.419,0.58475
148.0,0.0,1.0,0.421,0.58667
149.0,0.0,1.0,0.422,0.5867
150.0,0.0,1.0,0.414,0.57502
151.0,0.0,1.0,0.42,0.58452
152.0,0.0,1.0,0.435,0.59299
153.0,0.0,1.0,0.434,0.59297
154.0,0.0,1.0,0.428,0.58863
155.0,0.0,1.0,0.432,0.59013
156.0,0.0,1.0,0.428,0.59211
157.0,0.0,1.0,0.428,0.59142
158.0,0.0,1.0,0.429,0.59112
159.0,0.0,1.0,0.433,0.5944
160.0,0.0,1.0,0.431,0.59299
161.0,0.0,1.0,0.435,0.59529
162.0,0.0,1.0,0.429,0.59013
163.0,0.0,1.0,0.438,0.59669
164.0,0.0,1.0,0.436,0.59513
165.0,0.0,1.0,0.436,0.59555
166.0,0.0,1.0,0.42,0.58261
167.0,0.0,1.0,0.423,0.5849
168.0,0.0,1.0,0.419,0.583
169.0,0.0,1.0,0.412,0.57198
170.0,0.0,1.0,0.417,0.5819
171.0,0.0,1.0,0.416,0.58148
172.0,0.0,1.0,0.418,0.58308
173.0,0.0,1.0,0.412,0.57789
174.0,0.0,1.0,0.412,0.57859
175.0,0.0,1.0,0.426,0.58885
176.0,0.0,1.0,0.434,0.59409
177.0,0.0,1.0,0.429,0.59157
178.0,0.0,1.0,0.428,0.59209
179.0,0.0,1.0,0.428,0.59159
180.0,0.0,1.0,0.431,0.59379
181.0,0.0,1.0,0.433,0.5954
182.0,0.0,1.0,0.436,0.59614
183.0,0.0,1.0,0.436,0.59611
184.0,0.0,1.0,0.439,0.59704
185.0,0.0,1.0,0.438,0.59617
186.0,0.0,1.0,0.42,0.58163
187.0,0.0,1.0,0.413,0.57694
188.0,0.0,1.0,0.418,0.58059
189.0,0.0,1.0,0.416,0.58
190.0,0.0,1.0,0.41,0.57496
191.0,0.0,1.0,0.41,0.57036
192.0,0.0,1.0,0.415,0.5772
193.0,0.0,1.0,0.408,0.5707
194.0,0.0,1.0,0.409,0.57116
195.0,0.0,1.0,0.41,0.57731
196.0,0.0,1.0,0.411,0.57825
197.0,0.0,1.0,0.41,0.57556
198.0,0.0,1.0,0.415,0.58058
199.0,0.0,1.0,0.422,0.58858
200.0,0.0,1.0,0.421,0.58822
201.0,0.0,1.0,0.422,0.58728
202.0,0.0,1.0,0.424,0.58928
203.0,0.0,1.0,0.425,0.59091
204.0,0.0,1.0,0.425,0.58971
205.0,0.0,1.0,0.425,0.58923
206.0,0.0,1.0,0.426,0.59077
207.0,0.0,1.0,0.427,0.59023
208.0,0.0,1.0,0.435,0.59496
209.0,0.0,1.0,0.435,0.59524
210.0,0.0,1.0,0.433,0.59382
211.0,0.0,1.0,0.435,0.5959
212.0,0.0,1.0,0.433,0.59303
213.0,0.0,1.0,0.435,0.59546
214.0,0.0,1.0,0.431,0.59293
215.0,0.0,1.0,0.431,0.59337
216.0,0.0,1.0,0.428,0.5914
217.0,0.0,1.0,0.433,0.59533
218.0,0.0,1.0,0.428,0.59254
219.0,0.0,1.0,0.432,0.59445
220.0,0.0,1.0,0.437,0.5964
221.0,0.0,1.0,0.439,0.59841
222.0,0.0,1.0,0.435,0.59594
223.0,0.0,1.0,0.434,0.59451
224.0,0.0,1.0,0.439,0.59798
225.0,0.0,1.0,0.439,0.59834
226.0,0.0,1.0,0.436,0.59636
227.0,0.0,1.0,0.438,0.59729
228.0,0.0,1.0,0.434,0.59418
229.0,0.0,1.0,0.436,0.5957
230.0,0.0,1.0,0.42,0.58528
231.0,0.0,1.0,0.415,0.58302
232.0,0.0,1.0,0.418,0.58368
233.0,0.0,1.0,0.413,0.58193
234.0,0.0,1.0,0.413,0.58089
235.0,0.0,1.0,0.417,0.58252
236.0,0.0,1.0,0.413,0.58132
237.0,0.0,1.0,0.414,0.58148
238.0,0.0,1.0,0.418,0.58371
239.0,0.0,1.0,0.42,0.58568
240.0,0.0,1.0,0.413,0.58025
241.0,0.0,1.0,0.418,0.58233
242.0,0.0,1.0,0.419,0.58448
243.0,0.0,1.0,0.418,0.58341
244.0,0.0,1.0,0.416,0.58092
245.0,0.0,1.0,0.415,0.58084
246.0,0.0,1.0,0.416,0.57878
247.0,0.0,1.0,0.412,0.57726
248.0,0.0,1.0,0.412,0.57767
249.0,0.0,1.0,0.41,0.57489
250.0,0.0,1.0,0.411,0.5756
251.0,0.0,1.0,0.409,0.57134
252.0,0.0,1.0,0.414,0.5779
253.0,0.0,1.0,0.415,0.57978
254.0,0.0,1.0,0.412,0.5758
255.0,0.0,1.0,0.408,0.57285
256.0,0.0,1.0,0.411,0.57555
257.0,0.0,1.0,0.413,0.57586
258.0,0.0,1.0,0.414,0.57697
259.0,0.0,1.0,0.411,0.57282
260.0,0.0,1.0,0.406,0.56838
261.0,0.0,1.0,0.404,0.56689
262.0,0.0,1.0,0.404,0.56703
263.0,0.0,1.0,0.405,0.56982
264.0,0.0,1.0,0.412,0.57603
265.0,0.0,1.0,0.413,0.57548
266.0,0.0,1.0,0.41,0.57184
267.0,0.0,1.0,0.414,0.57783
268.0,0.0,1.0,0.407,0.5759
269.0,0.0,1.0,0.405,0.57456
270.0,0.0,1.0,0.412,0.57923
271.0,0.0,1.0,0.41,0.57553
272.0,0.0,1.0,0.407,0.57508
273.0,0.0,1.0,0.413,0.57674
274.0,0.0,1.0,0.411,0.57552
275.0,0.0,1.0,0.414,0.57865
276.0,0.0,1.0,0.417,0.57961
277.0,0.0,1.0,0.415,0.57599
278.0,0.0,1.0,0.416,0.57614
279.0,0.0,1.0,0.415,0.57551
280.0,0.0,1.0,0.409,0.57017
281.0,0.0,1.0,0.404,0.56602
282.0,0.0,1.0,0.4,0.56006
283.0,0.0,1.0,0.405,0.56455
284.0,0.0,1.0,0.404,0.56745
285.0,0.0,1.0,0.404,0.56722
286.0,0.0,1.0,0.414,0.57971
287.0,0.0,1.0,0.411,0.57914
288.0,0.0,1.0,0.413,0.57919
289.0,0.0,1.0,0.416,0.58208
290.0,0.0,1.0,0.419,0.5852
291.0,0.0,1.0,0.415,0.58413
292.0,0.0,1.0,0.415,0.58173
293.0,0.0,1.0,0.416,0.58177
294.0,0.0,1.0,0.416,0.58156
295.0,0.0,1.0,0.415,0.58189
296.0,0.0,1.0,0.413,0.57958
297.0,0.0,1.0,0.414,0.57961
298.0,0.0,1.0,0.413,0.57837
299.0,0.0,1.0,0.413,0.57854
300.0,0.0,1.0,0.412,0.5755
301.0,0.0,1.0,0.412,0.5776
302.0,0.0,1.0,0.413,0.57811
303.0,0.0,1.0,0.414,0.57673
304.0,0.0,1.0,0.424,0.58599
305.0,0.0,1.0,0.432,0.59236
306.0,0.0,1.0,0.427,0.5912
307.0,0.0,1.0,0.42,0.5861
308.0,0.0,1.0,0.427,0.59029
309.0,0.0,1.0,0.429,0.59211
310.0,0.0,1.0,0.431,0.59262
311.0,0.0,1.0,0.431,0.5929
312.0,0.0,1.0,0.43,0.59198
313.0,0.0,1.0,0.429,0.5908
314.0,0.0,1.0,0.43,0.59213
315.0,0.0,1.0,0.432,0.59275
316.0,0.0,1.0,0.433,0.59282
317.0,0.0,1.0,0.42,0.58313
318.0,0.0,1.0,0.419,0.58385
319.0,0.0,1.0,0.419,0.58172
320.0,0.0,1.0,0.416,0.57902
321.0,0.0,1.0,0.413,0.57816
322.0,0.0,1.0,0.416,0.58165
323.0,0.0,1.0,0.412,0.57723
324.0,0.0,1.0,0.409,0.57097
325.0,0.0,1.0,0.406,0.56975
326.0,0.0,1.0,0.406,0.57086
327.0,0.0,1.0,0.411,0.57495
328.0,0.0,1.0,0.402,0.56748
329.0,0.0,1.0,0.405,0.5701
330.0,0.0,1.0,0.408,0.57175
331.0,0.0,1.0,0.409,0.57323
332.0,0.0,1.0,0.409,0.57181
