time,small,large,probability,intensity
0.0,0.0,0.0,0.83,0.09548
1.0,0.0,0.0,0.824,0.09857
2.0,0.0,0.0,0.826,0.09682
3.0,0.0,0.0,0.853,0.08232
4.0,0.0,0.0,0.841,0.08882
5.0,0.0,0.0,0.84,0.08973
6.0,0.0,0.0,0.843,0.08811
7.0,0.0,0.0,0.849,0.08445
8.0,0.0,0.0,0.854,0.08213
9.0,0.0,0.0,0.854,0.08193
10.0,0.0,0.0,0.853,0.08246
11.0,0.0,0.0,0.856,0.0809
12.0,0.0,0.0,0.86,0.07894
13.0,0.0,0.0,0.855,0.08131
14.0,0.0,0.0,0.857,0.08055
15.0,0.0,0.0,0.856,0.0807
16.0,0.0,0.0,0.851,0.08345
17.0,0.0,0.0,0.853,0.08262
18.0,0.0,0.0,0.847,0.08578
19.0,0.0,0.0,0.851,0.08345
20.0,0.0,0.0,0.843,0.08793
21.0,0.0,0.0,0.846,0.08653
22.0,0.0,0.0,0.85,0.08423
23.0,0.0,0.0,0.851,0.08357
24.0,0.0,0.0,0.837,0.09078
25.0,0.0,0.0,0.839,0.09025
26.0,0.0,0.0,0.846,0.08648
27.0,0.0,0.0,0.835,0.09237
28.0,0.0,0.0,0.829,0.09554
29.0,0.0,0.0,0.83,0.09491
30.0,0.0,0.0,0.825,0.09773
31.0,0.0,0.0,0.815,0.10333
32.0,0.0,0.0,0.821,0.10038
33.0,0.0,0.0,0.812,0.10538
34.0,0.0,0.0,0.819,0.10132
35.0,0.0,0.0,0.81,0.10653
36.0,0.0,0.0,0.81,0.10661
37.0,0.0,0.0,0.803,0.11018
38.0,0.0,0.0,0.799,0.11241
39.0,0.0,0.0,0.801,0.11159
40.0,0.0,0.0,0.794,0.11598
41.0,0.0,0.0,0.78,0.123
42.0,0.0,0.0,0.801,0.11136
43.0,0.0,0.0,0.792,0.11596
44.0,0.0,0.0,0.781,0.12255
45.0,0.0,0.0,0.789,0.11767
46.0,0.0,0.0,0.793,0.11569
47.0,0.0,0.0,0.794,0.11474
48.0,0.0,0.0,0.789,0.1183
49.0,0.0,0.0,0.791,0.11743
50.0,0.0,0.0,0.779,0.12309
51.0,0.0,0.0,0.794,0.11505
52.0,0.0,0.0,0.789,0.11765
53.0,0.0,0.0,0.801,0.11146
54.0,0.0,0.0,0.779,0.12408
55.0,0.0,0.0,0.782,0.12205
56.0,0.0,0.0,0.785,0.121
57.0,0.0,0.0,0.783,0.12186
58.0,0.0,0.0,0.783,0.12203
59.0,0.0,0.0,0.792,0.11672
60.0,0.0,0.0,0.756,0.13401
61.0,0.0,0.0,0.784,0.12221
62.0,0.0,0.0,0.784,0.12164
63.0,0.0,0.0,0.793,0.11735
64.0,0.0,0.0,0.782,0.123
65.0,0.0,0.0,0.793,0.11745
66.0,0.0,0.0,0.786,0.12102
67.0,0.0,0.0,0.794,0.11669
68.0,0.0,0.0,0.805,0.11024
69.0,0.0,0.0,0.801,0.11248
70.0,0.0,0.0,0.808,0.10841
71.0,0.0,0.0,0.811,0.10703
72.0,0.0,0.0,0.799,0.11318
73.0,0.0,0.0,0.807,0.10915
74.0,0.0,0.0,0.805,0.10997
75.0,0.0,0.0,0.805,0.10989
76.0,0.0,0.0,0.799,0.11328
77.0,0.0,0.0,0.793,0.11639
78.0,0.0,0.0,0.8,0.11273
79.0,0.0,0.0,0.786,0.12005
80.0,0.0,0.0,0.785,0.12037
81.0,0.0,0.0,0.799,0.11299
82.0,0.0,0.0,0.789,0.1181
83.0,0.0,0.0,0.776,0.12528
84.0,0.0,0.0,0.781,0.12266
85.0,0.0,0.0,0.77,0.1287
86.0,0.0,0.0,0.77,0.12846
87.0,0.0,0.0,0.77,0.12788
88.0,0.0,0.0,0.762,0.13255
89.0,0.0,0.0,0.758,0.13543
90.0,0.0,0.0,0.764,0.1319
91.0,0.0,0.0,0.754,0.13755
92.0,0.0,0.0,0.754,0.13753
93.0,0.0,0.0,0.763,0.13179
94.0,0.0,0.0,0.749,0.14001
95.0,0.0,0.0,0.731,0.14979
96.0,0.0,0.0,0.731,0.14926
97.0,0.0,0.0,0.734,0.14821
98.0,0.0,0.0,0.734,0.14804
99.0,0.0,0.0,0.719,0.15641
100.0,0.0,0.0,0.726,0.15248
101.0,0.0,0.0,0.712,0.16021
102.0,0.0,0.0,0.686,0.17467
103.0,0.0,0.0,0.68,0.17756
104.0,0.0,0.0,0.687,0.17423
105.0,0.0,0.0,0.697,0.16875
106.0,0.0,0.0,0.649,0.19389
107.0,0.0,0.0,0.731,0.15115
108.0,0.0,0.0,0.689,0.17253
109.0,0.0,0.0,0.755,0.1382
110.0,0.0,0.0,0.732,0.15087
111.0,0.0,0.0,0.738,0.14799
112.0,0.0,0.0,0.742,0.14545
113.0,0.0,0.0,0.745,0.14361
114.0,0.0,0.0,0.728,0.1528
115.0,0.0,0.0,0.722,0.15664
116.0,0.0,0.0,0.718,0.15935
117.0,0.0,0.0,0.711,0.16305
118.0,0.0,0.0,0.724,0.15524
119.0,0.0,0.0,0.705,0.16456
120.0,0.0,0.0,0.714,0.16056
121.0,0.0,0.0,0.699,0.16857
