time,small,large,probability,intensity
3.0,1.0,0.0,0.493,0.2874
4.0,0.0,0.0,0.589,0.23437
5.0,0.0,0.0,0.604,0.22698
6.0,0.0,0.0,0.615,0.22074
7.0,0.0,0.0,0.645,0.20765
8.0,0.0,0.0,0.534,0.25717
9.0,0.0,0.0,0.6,0.22795
10.0,0.0,0.0,0.527,0.26134
11.0,0.0,0.0,0.55,0.24944
12.0,0.0,0.0,0.56,0.24825
13.0,0.0,0.0,0.565,0.24586
14.0,0.0,0.0,0.565,0.24644
15.0,0.0,0.0,0.567,0.24503
16.0,0.0,0.0,0.569,0.24297
17.0,0.0,0.0,0.552,0.25187
18.0,0.0,0.0,0.543,0.2568
19.0,0.0,0.0,0.55,0.25225
20.0,0.0,0.0,0.555,0.24911
21.0,0.0,0.0,0.545,0.25473
22.0,0.0,0.0,0.555,0.24976
23.0,0.0,0.0,0.544,0.25637
24.0,0.0,0.0,0.516,0.26628
25.0,0.0,0.0,0.519,0.26465
26.0,0.0,0.0,0.514,0.26804
27.0,0.0,0.0,0.511,0.26918
28.0,0.0,0.0,0.518,0.26546
29.0,0.0,0.0,0.513,0.26795
30.0,0.0,0.0,0.516,0.26507
31.0,0.0,0.0,0.513,0.26814
32.0,0.0,0.0,0.52,0.26455
33.0,0.0,0.0,0.517,0.26739
34.0,0.0,0.0,0.513,0.26649
35.0,0.0,0.0,0.525,0.26334
36.0,0.0,0.0,0.521,0.26495
37.0,0.0,0.0,0.521,0.2657
38.0,0.0,0.0,0.516,0.26678
39.0,0.0,0.0,0.521,0.26529
40.0,0.0,0.0,0.512,0.26987
41.0,0.0,0.0,0.519,0.26866
42.0,0.0,0.0,0.525,0.26425
43.0,0.0,0.0,0.523,0.26619
44.0,0.0,0.0,0.525,0.26369
45.0,0.0,0.0,0.519,0.26821
46.0,0.0,0.0,0.516,0.26926
47.0,0.0,0.0,0.538,0.26038
48.0,0.0,0.0,0.532,0.26607
49.0,0.0,0.0,0.535,0.26802
50.0,0.0,0.0,0.545,0.25972
51.0,0.0,0.0,0.545,0.26186
52.0,0.0,0.0,0.547,0.25824
53.0,0.0,0.0,0.536,0.27124
54.0,0.0,0.0,0.531,0.26866
55.0,0.0,0.0,0.536,0.27011
56.0,0.0,0.0,0.53,0.26618
57.0,0.0,0.0,0.53,0.26859
58.0,0.0,0.0,0.531,0.26476
59.0,0.0,0.0,0.53,0.26801
60.0,0.0,0.0,0.523,0.26623
61.0,0.0,0.0,0.527,0.26637
62.0,0.0,0.0,0.533,0.2588
63.0,0.0,0.0,0.527,0.26526
64.0,0.0,0.0,0.526,0.26566
65.0,0.0,0.0,0.53,0.26439
66.0,0.0,0.0,0.53,0.26361
67.0,0.0,0.0,0.518,0.26984
68.0,0.0,0.0,0.515,0.27123
69.0,0.0,0.0,0.514,0.27144
70.0,0.0,0.0,0.517,0.26983
71.0,0.0,0.0,0.527,0.26572
72.0,0.0,0.0,0.536,0.26149
73.0,0.0,0.0,0.527,0.26461
74.0,0.0,0.0,0.533,0.25976
75.0,0.0,0.0,0.54,0.26063
76.0,0.0,0.0,0.528,0.26205
77.0,0.0,0.0,0.531,0.2609
78.0,0.0,0.0,0.548,0.25161
79.0,0.0,0.0,0.538,0.2569
80.0,0.0,0.0,0.529,0.2603
81.0,0.0,0.0,0.531,0.25977
82.0,0.0,0.0,0.529,0.26083
83.0,0.0,0.0,0.536,0.25775
84.0,0.0,0.0,0.525,0.26373
85.0,0.0,0.0,0.536,0.25768
86.0,0.0,0.0,0.537,0.25799
87.0,0.0,0.0,0.536,0.26591
88.0,0.0,0.0,0.537,0.2593
89.0,0.0,0.0,0.551,0.25789
90.0,0.0,0.0,0.546,0.25548
91.0,0.0,0.0,0.549,0.25451
92.0,0.0,0.0,0.53,0.26078
93.0,0.0,0.0,0.518,0.26891
94.0,0.0,0.0,0.526,0.26307
95.0,0.0,0.0,0.525,0.26395
96.0,0.0,0.0,0.533,0.25928
97.0,0.0,0.0,0.541,0.25543
98.0,0.0,0.0,0.541,0.25528
99.0,0.0,0.0,0.567,0.2439
100.0,0.0,0.0,0.561,0.24481
101.0,0.0,0.0,0.562,0.2494
102.0,0.0,0.0,0.559,0.24695
103.0,0.0,0.0,0.566,0.24902
104.0,0.0,0.0,0.567,0.24414
105.0,0.0,0.0,0.563,0.25095
106.0,0.0,0.0,0.544,0.25471
107.0,0.0,0.0,0.547,0.2554
108.0,0.0,0.0,0.537,0.25775
109.0,0.0,0.0,0.541,0.25601
110.0,0.0,0.0,0.548,0.25173
111.0,0.0,0.0,0.546,0.2535
112.0,0.0,0.0,0.54,0.25481
113.0,0.0,0.0,0.535,0.25809
114.0,0.0,0.0,0.54,0.25509
115.0,0.0,0.0,0.538,0.25658
116.0,0.0,0.0,0.534,0.25765
117.0,0.0,0.0,0.534,0.25957
118.0,0.0,0.0,0.525,0.26158
119.0,0.0,0.0,0.529,0.26123
120.0,0.0,0.0,0.545,0.25288
121.0,0.0,0.0,0.543,0.25627
122.0,0.0,0.0,0.549,0.25003
123.0,0.0,0.0,0.54,0.25636
124.0,0.0,0.0,0.541,0.25515
125.0,0.0,0.0,0.527,0.2628
126.0,0.0,0.0,0.536,0.25805
127.0,0.0,0.0,0.539,0.2569
128.0,0.0,0.0,0.521,0.26681
129.0,0.0,0.0,0.528,0.26429
130.0,0.0,0.0,0.525,0.26452
131.0,0.0,0.0,0.526,0.26639
132.0,0.0,0.0,0.529,0.26186
133.0,0.0,0.0,0.53,0.26061
134.0,0.0,0.0,0.533,0.25857
135.0,0.0,0.0,0.527,0.26221
136.0,0.0,0.0,0.536,0.25723
137.0,0.0,0.0,0.543,0.2542
138.0,0.0,0.0,0.533,0.25777
139.0,0.0,0.0,0.529,0.26061
140.0,0.0,0.0,0.54,0.25526
141.0,0.0,0.0,0.548,0.25091
142.0,0.0,0.0,0.559,0.24529
143.0,0.0,0.0,0.549,0.25089
144.0,0.0,0.0,0.534,0.25771
145.0,0.0,0.0,0.555,0.24912
146.0,0.0,0.0,0.535,0.25849
147.0,0.0,0.0,0.526,0.26417
148.0,0.0,0.0,0.52,0.26553
149.0,0.0,0.0,0.534,0.26036
150.0,0.0,0.0,0.528,0.26251
151.0,0.0,0.0,0.521,0.26887
152.0,0.0,0.0,0.523,0.26498
153.0,0.0,0.0,0.524,0.26579
154.0,0.0,0.0,0.52,0.26736
155.0,0.0,0.0,0.522,0.26529
156.0,0.0,0.0,0.516,0.26864
157.0,0.0,0.0,0.518,0.26782
158.0,0.0,0.0,0.518,0.2661
159.0,0.0,0.0,0.521,0.26483
160.0,0.0,0.0,0.516,0.268
161.0,0.0,0.0,0.521,0.26543
162.0,0.0,0.0,0.523,0.26409
163.0,0.0,0.0,0.517,0.26703
164.0,0.0,0.0,0.515,0.26786
165.0,0.0,0.0,0.52,0.26573
166.0,0.0,0.0,0.514,0.26816
167.0,0.0,0.0,0.525,0.26536
168.0,0.0,0.0,0.509,0.2724
169.0,0.0,0.0,0.522,0.27055
170.0,0.0,0.0,0.519,0.26821
171.0,0.0,0.0,0.518,0.27327
172.0,0.0,0.0,0.524,0.26578
173.0,0.0,0.0,0.528,0.26487
174.0,0.0,0.0,0.526,0.26401
175.0,0.0,0.0,0.526,0.26568
176.0,0.0,0.0,0.531,0.26114
177.0,0.0,0.0,0.531,0.2616
178.0,0.0,0.0,0.526,0.26475
179.0,0.0,0.0,0.535,0.26086
180.0,0.0,0.0,0.525,0.26352
181.0,0.0,0.0,0.521,0.26564
182.0,0.0,0.0,0.525,0.26293
183.0,0.0,0.0,0.522,0.26714
184.0,0.0,0.0,0.52,0.26574
185.0,0.0,0.0,0.527,0.26438
186.0,0.0,0.0,0.528,0.26313
187.0,0.0,0.0,0.516,0.26923
188.0,0.0,0.0,0.518,0.26597
189.0,0.0,0.0,0.52,0.26708
190.0,0.0,0.0,0.522,0.2666
191.0,0.0,0.0,0.523,0.26548
192.0,0.0,0.0,0.522,0.26459
193.0,0.0,0.0,0.519,0.27136
194.0,0.0,0.0,0.527,0.26351
195.0,0.0,0.0,0.53,0.26489
196.0,0.0,0.0,0.537,0.25874
197.0,0.0,0.0,0.548,0.25501
198.0,0.0,0.0,0.539,0.2565
199.0,0.0,0.0,0.539,0.2587
200.0,0.0,0.0,0.536,0.25811
201.0,0.0,0.0,0.54,0.25527
202.0,0.0,0.0,0.546,0.25125
