time,small,large,probability,intensity
3.0,1.0,0.0,0.537,0.37402
4.0,1.0,0.0,0.578,0.36062
5.0,0.0,0.0,0.52,0.27478
6.0,1.0,0.0,0.478,0.29305
7.0,1.0,0.0,0.485,0.32835
8.0,1.0,0.0,0.469,0.34548
9.0,1.0,0.0,0.482,0.37039
10.0,1.0,0.0,0.53,0.3231
11.0,1.0,0.0,0.554,0.34092
12.0,1.0,0.0,0.553,0.33268
13.0,1.0,0.0,0.52,0.31793
14.0,1.0,0.0,0.555,0.32665
15.0,1.0,0.0,0.525,0.32507
16.0,1.0,0.0,0.504,0.40204
17.0,1.0,0.0,0.473,0.38825
18.0,1.0,0.0,0.461,0.39331
19.0,1.0,0.0,0.472,0.41237
20.0,1.0,0.0,0.472,0.39278
21.0,1.0,0.0,0.461,0.397
22.0,1.0,0.0,0.47,0.38791
23.0,1.0,0.0,0.477,0.40411
24.0,0.0,0.0,0.493,0.27229
25.0,1.0,0.0,0.481,0.35378
26.0,1.0,0.0,0.467,0.38991
27.0,1.0,0.0,0.374,0.45175
28.0,0.0,0.0,0.38,0.43535
29.0,0.0,0.0,0.384,0.45277
30.0,0.0,0.0,0.373,0.45984
31.0,0.0,0.0,0.386,0.44916
32.0,0.0,0.0,0.403,0.44815
33.0,0.0,0.0,0.41,0.45376
34.0,0.0,0.0,0.381,0.46504
35.0,0.0,0.0,0.375,0.47341
36.0,0.0,0.0,0.354,0.4767
37.0,0.0,0.0,0.371,0.47006
38.0,0.0,0.0,0.386,0.43407
39.0,0.0,0.0,0.397,0.44763
40.0,1.0,0.0,0.395,0.43568
41.0,0.0,0.0,0.367,0.46561
42.0,0.0,0.0,0.479,0.33926
43.0,0.0,0.0,0.573,0.2634
44.0,0.0,0.0,0.635,0.19425
45.0,0.0,0.0,0.591,0.21477
46.0,0.0,0.0,0.658,0.18206
47.0,0.0,0.0,0.637,0.1927
48.0,0.0,0.0,0.535,0.24672
49.0,0.0,0.0,0.648,0.18464
50.0,0.0,0.0,0.651,0.183
51.0,0.0,0.0,0.628,0.19751
52.0,0.0,0.0,0.624,0.19887
53.0,0.0,0.0,0.625,0.19813
54.0,0.0,0.0,0.637,0.19137
55.0,0.0,0.0,0.641,0.18984
56.0,0.0,0.0,0.633,0.19234
57.0,0.0,0.0,0.619,0.19969
58.0,0.0,0.0,0.647,0.18539
59.0,0.0,0.0,0.63,0.19536
60.0,0.0,0.0,0.606,0.20724
61.0,0.0,0.0,0.628,0.19636
62.0,0.0,0.0,0.636,0.19131
63.0,0.0,0.0,0.38,0.45825
64.0,0.0,0.0,0.547,0.29615
65.0,0.0,0.0,0.562,0.24749
66.0,0.0,0.0,0.552,0.25394
67.0,0.0,0.0,0.56,0.2491
68.0,0.0,0.0,0.486,0.29268
69.0,0.0,0.0,0.503,0.28384
70.0,0.0,0.0,0.544,0.2589
71.0,0.0,0.0,0.55,0.27568
72.0,0.0,0.0,0.443,0.38628
73.0,0.0,0.0,0.49,0.35435
74.0,0.0,0.0,0.49,0.32022
75.0,0.0,0.0,0.486,0.32727
76.0,0.0,0.0,0.384,0.47863
77.0,0.0,0.0,0.53,0.27043
78.0,0.0,0.0,0.585,0.22571
79.0,0.0,0.0,0.537,0.2548
80.0,0.0,0.0,0.566,0.23418
81.0,0.0,0.0,0.579,0.22608
82.0,0.0,0.0,0.583,0.23112
83.0,0.0,0.0,0.574,0.23246
84.0,0.0,0.0,0.588,0.22754
85.0,0.0,0.0,0.569,0.2462
86.0,0.0,0.0,0.526,0.2774
87.0,0.0,0.0,0.531,0.27352
88.0,0.0,0.0,0.395,0.42058
89.0,0.0,0.0,0.441,0.35823
90.0,0.0,0.0,0.472,0.35139
91.0,0.0,0.0,0.45,0.39278
92.0,0.0,0.0,0.417,0.4341
93.0,0.0,0.0,0.474,0.34399
94.0,0.0,0.0,0.457,0.37076
95.0,0.0,0.0,0.46,0.31069
