time,small,large,probability,intensity
3.0,1.0,0.0,0.599,0.357
4.0,1.0,0.0,0.597,0.3538
5.0,1.0,0.0,0.601,0.35368
6.0,1.0,0.0,0.598,0.35255
7.0,1.0,0.0,0.6,0.35144
8.0,1.0,0.0,0.596,0.35007
9.0,1.0,0.0,0.598,0.35171
10.0,1.0,0.0,0.593,0.34868
11.0,1.0,0.0,0.598,0.34995
12.0,1.0,0.0,0.601,0.35376
13.0,1.0,0.0,0.604,0.35438
14.0,1.0,0.0,0.605,0.35599
15.0,1.0,0.0,0.605,0.35556
16.0,1.0,0.0,0.6,0.3534
17.0,1.0,0.0,0.605,0.35598
18.0,1.0,0.0,0.603,0.35383
19.0,1.0,0.0,0.607,0.35695
20.0,1.0,0.0,0.602,0.35267
21.0,1.0,0.0,0.607,0.35621
22.0,1.0,0.0,0.606,0.35462
23.0,1.0,0.0,0.603,0.3551
24.0,1.0,0.0,0.604,0.35482
25.0,1.0,0.0,0.603,0.35646
26.0,1.0,0.0,0.602,0.35443
27.0,1.0,0.0,0.604,0.35469
28.0,1.0,0.0,0.601,0.3522
29.0,1.0,0.0,0.601,0.3536
30.0,1.0,0.0,0.602,0.35367
31.0,1.0,0.0,0.604,0.35448
32.0,1.0,0.0,0.601,0.35153
33.0,1.0,0.0,0.601,0.35174
34.0,1.0,0.0,0.599,0.34998
35.0,1.0,0.0,0.601,0.35028
36.0,1.0,0.0,0.603,0.34933
37.0,1.0,0.0,0.602,0.34971
38.0,1.0,0.0,0.6,0.34761
39.0,1.0,0.0,0.603,0.35016
40.0,1.0,0.0,0.605,0.35065
41.0,1.0,0.0,0.604,0.35182
42.0,1.0,0.0,0.595,0.34556
43.0,1.0,0.0,0.6,0.34775
44.0,1.0,0.0,0.597,0.34688
45.0,1.0,0.0,0.598,0.34652
46.0,1.0,0.0,0.597,0.346
47.0,1.0,0.0,0.595,0.34469
48.0,1.0,0.0,0.598,0.34754
49.0,1.0,0.0,0.599,0.34709
50.0,1.0,0.0,0.597,0.3462
51.0,1.0,0.0,0.601,0.34913
52.0,1.0,0.0,0.601,0.34766
53.0,1.0,0.0,0.601,0.34962
54.0,1.0,0.0,0.596,0.34569
55.0,1.0,0.0,0.598,0.34785
56.0,1.0,0.0,0.593,0.34386
57.0,1.0,0.0,0.599,0.34745
58.0,1.0,0.0,0.597,0.34567
59.0,1.0,0.0,0.595,0.3443
60.0,1.0,0.0,0.599,0.34838
61.0,1.0,0.0,0.603,0.35024
62.0,1.0,0.0,0.601,0.34863
63.0,1.0,0.0,0.598,0.34738
64.0,1.0,0.0,0.599,0.34598
65.0,1.0,0.0,0.6,0.34751
66.0,1.0,0.0,0.598,0.34625
67.0,1.0,0.0,0.6,0.34771
68.0,1.0,0.0,0.596,0.34589
69.0,1.0,0.0,0.598,0.34562
70.0,1.0,0.0,0.597,0.34486
71.0,1.0,0.0,0.592,0.34414
72.0,1.0,0.0,0.598,0.34569
73.0,1.0,0.0,0.595,0.345
74.0,1.0,0.0,0.593,0.34363
75.0,1.0,0.0,0.601,0.34926
76.0,1.0,0.0,0.587,0.34297
77.0,1.0,0.0,0.597,0.34845
78.0,1.0,0.0,0.591,0.34392
79.0,1.0,0.0,0.594,0.34471
80.0,1.0,0.0,0.593,0.3445
81.0,1.0,0.0,0.593,0.34489
82.0,1.0,0.0,0.593,0.34299
83.0,1.0,0.0,0.59,0.34357
84.0,1.0,0.0,0.594,0.34561
85.0,1.0,0.0,0.588,0.34155
86.0,1.0,0.0,0.586,0.3401
87.0,1.0,0.0,0.58,0.33643
88.0,1.0,0.0,0.581,0.33597
89.0,1.0,0.0,0.588,0.34385
90.0,1.0,0.0,0.589,0.34481
91.0,1.0,0.0,0.591,0.34576
92.0,1.0,0.0,0.597,0.34785
93.0,1.0,0.0,0.583,0.35916
94.0,1.0,0.0,0.594,0.35536
95.0,1.0,0.0,0.591,0.36205
96.0,1.0,0.0,0.592,0.36221
97.0,1.0,0.0,0.592,0.36392
98.0,1.0,0.0,0.59,0.36272
99.0,1.0,0.0,0.596,0.35954
100.0,1.0,0.0,0.588,0.35403
101.0,1.0,0.0,0.603,0.35012
102.0,1.0,0.0,0.599,0.34612
103.0,1.0,0.0,0.592,0.34185
104.0,1.0,0.0,0.591,0.34654
105.0,1.0,0.0,0.593,0.34691
106.0,1.0,0.0,0.587,0.3426
107.0,1.0,0.0,0.587,0.34394
108.0,1.0,0.0,0.581,0.34868
109.0,1.0,0.0,0.586,0.3497
110.0,1.0,0.0,0.589,0.35002
111.0,1.0,0.0,0.593,0.35176
112.0,1.0,0.0,0.593,0.35048
113.0,1.0,0.0,0.583,0.36417
114.0,1.0,0.0,0.581,0.35763
115.0,1.0,0.0,0.581,0.3592
116.0,1.0,0.0,0.578,0.35595
117.0,1.0,0.0,0.58,0.35572
118.0,1.0,0.0,0.58,0.35074
119.0,1.0,0.0,0.578,0.35331
120.0,1.0,0.0,0.579,0.34984
121.0,1.0,0.0,0.585,0.3492
122.0,1.0,0.0,0.585,0.34865
123.0,1.0,0.0,0.589,0.34982
124.0,1.0,0.0,0.588,0.34936
125.0,1.0,0.0,0.59,0.35255
126.0,1.0,0.0,0.581,0.35039
127.0,1.0,0.0,0.58,0.35208
128.0,1.0,0.0,0.596,0.34991
129.0,1.0,0.0,0.591,0.34659
130.0,1.0,0.0,0.588,0.34578
131.0,1.0,0.0,0.591,0.34874
132.0,1.0,0.0,0.591,0.34833
133.0,1.0,0.0,0.596,0.34776
134.0,1.0,0.0,0.59,0.34532
135.0,1.0,0.0,0.589,0.34425
136.0,1.0,0.0,0.586,0.34367
137.0,1.0,0.0,0.595,0.34794
138.0,1.0,0.0,0.588,0.34189
139.0,1.0,0.0,0.591,0.34501
140.0,1.0,0.0,0.589,0.3438
141.0,1.0,0.0,0.595,0.34508
142.0,1.0,0.0,0.593,0.34415
143.0,1.0,0.0,0.591,0.34398
144.0,1.0,0.0,0.587,0.34234
145.0,1.0,0.0,0.585,0.34202
146.0,1.0,0.0,0.587,0.34307
