time,small,large,probability,intensity
0.0,0.0,0.0,0.708,0.15979
1.0,0.0,0.0,0.698,0.16473
2.0,0.0,0.0,0.702,0.16302
3.0,0.0,0.0,0.707,0.16019
4.0,0.0,0.0,0.701,0.16289
5.0,0.0,0.0,0.702,0.16286
6.0,0.0,0.0,0.702,0.16313
7.0,0.0,0.0,0.696,0.16561
8.0,0.0,0.0,0.7,0.16355
9.0,0.0,0.0,0.703,0.16243
10.0,0.0,0.0,0.7,0.16399
11.0,0.0,0.0,0.702,0.16245
12.0,0.0,0.0,0.706,0.16073
13.0,0.0,0.0,0.701,0.16317
14.0,0.0,0.0,0.692,0.16827
15.0,0.0,0.0,0.692,0.1678
16.0,0.0,0.0,0.702,0.16271
17.0,0.0,0.0,0.7,0.16365
18.0,0.0,0.0,0.693,0.16738
19.0,0.0,0.0,0.697,0.16475
20.0,0.0,0.0,0.697,0.16489
21.0,0.0,0.0,0.7,0.1639
22.0,0.0,0.0,0.701,0.16342
23.0,0.0,0.0,0.702,0.16208
24.0,0.0,0.0,0.7,0.16349
25.0,0.0,0.0,0.699,0.16456
26.0,0.0,0.0,0.698,0.16419
27.0,0.0,0.0,0.703,0.16162
28.0,0.0,0.0,0.703,0.16216
29.0,0.0,0.0,0.698,0.16447
30.0,0.0,0.0,0.693,0.16745
31.0,0.0,0.0,0.701,0.16303
32.0,0.0,0.0,0.702,0.16279
33.0,0.0,0.0,0.697,0.16522
34.0,0.0,0.0,0.687,0.17081
35.0,0.0,0.0,0.698,0.16442
36.0,0.0,0.0,0.705,0.16067
37.0,0.0,0.0,0.705,0.16052
38.0,0.0,0.0,0.712,0.1572
39.0,0.0,0.0,0.701,0.16295
40.0,0.0,0.0,0.702,0.16202
41.0,0.0,0.0,0.697,0.16522
42.0,0.0,0.0,0.701,0.16286
43.0,0.0,0.0,0.702,0.16259
44.0,0.0,0.0,0.704,0.16105
45.0,0.0,0.0,0.697,0.16516
46.0,0.0,0.0,0.703,0.16211
47.0,0.0,0.0,0.703,0.16159
48.0,0.0,0.0,0.702,0.16243
49.0,0.0,0.0,0.704,0.16128
50.0,0.0,0.0,0.696,0.16571
51.0,0.0,0.0,0.71,0.15816
52.0,0.0,0.0,0.701,0.16295
53.0,0.0,0.0,0.708,0.159
54.0,0.0,0.0,0.702,0.16294
