time,small,large,probability,intensity,dissimilarity
0.0,0.0,0.0,0.8330000042915344,0.09881,0.72624314
1.0,0.0,0.0,0.8240000009536743,0.10394,0.679552
2.0,0.0,0.0,0.8270000219345093,0.10177,0.7064715
3.0,0.0,0.0,0.8370000123977661,0.09615,0.75225323
4.0,0.0,0.0,0.8330000042915344,0.09878,0.72721344
5.0,0.0,0.0,0.8339999914169312,0.09819,0.7350558
6.0,0.0,0.0,0.8320000171661377,0.09944,0.7181385
7.0,0.0,0.0,0.8349999785423279,0.09776,0.7385415
8.0,0.0,0.0,0.8240000009536743,0.10411,0.67451984
9.0,0.0,0.0,0.8230000138282776,0.1047,0.66404575
10.0,0.0,0.0,0.8119999766349792,0.11124,0.60883963
11.0,0.0,0.0,0.8259999752044678,0.10095,0.75088155
12.0,0.0,0.0,0.8140000104904175,0.11038,0.6108177
13.0,0.0,0.0,0.8209999799728394,0.10508,0.6819075
14.0,0.0,0.0,0.828000009059906,0.10141,0.7031209
15.0,0.0,0.0,0.8320000171661377,0.09931,0.72656274
16.0,0.0,0.0,0.828000009059906,0.10128,0.71749985
17.0,0.0,0.0,0.8190000057220459,0.10608,0.6807953
18.0,0.0,0.0,0.8299999833106995,0.09965,0.7327597
19.0,0.0,0.0,0.8339999914169312,0.09737,0.76406145
20.0,0.0,0.0,0.8320000171661377,0.09769,0.77542627
21.0,0.0,0.0,0.8370000123977661,0.09544,0.77881056
22.0,0.0,0.0,0.8399999737739563,0.09381,0.79438615
23.0,0.0,0.0,0.847000002861023,0.08968,0.83255416
24.0,0.0,0.0,0.8379999995231628,0.09486,0.7875865
25.0,0.0,0.0,0.8339999914169312,0.09707,0.7696924
26.0,0.0,0.0,0.8370000123977661,0.09575,0.77852553
27.0,0.0,0.0,0.8370000123977661,0.09557,0.7724352
28.0,0.0,0.0,0.8339999914169312,0.09767,0.75602806
29.0,0.0,0.0,0.8410000205039978,0.0933,0.7987421
30.0,0.0,0.0,0.8360000252723694,0.09612,0.7798146
31.0,0.0,0.0,0.8519999980926514,0.08773,0.8403805
32.0,0.0,0.0,0.8399999737739563,0.09431,0.78180456
33.0,0.0,0.0,0.8429999947547913,0.09422,0.7440821
34.0,0.0,0.0,0.8420000076293945,0.09506,0.73648864
35.0,0.0,0.0,0.8450000286102295,0.09267,0.76475006
36.0,0.0,0.0,0.8479999899864197,0.09106,0.78395206
37.0,0.0,0.0,0.8420000076293945,0.09474,0.7403917
38.0,0.0,0.0,0.8479999899864197,0.0908,0.78600734
39.0,0.0,0.0,0.8370000123977661,0.09822,0.70400774
40.0,0.0,0.0,0.8349999785423279,0.0988,0.70278484
41.0,0.0,0.0,0.8289999961853027,0.10242,0.66597366
42.0,0.0,0.0,0.8309999704360962,0.10122,0.68235433
43.0,0.0,0.0,0.859000027179718,0.0828,0.9101417
44.0,0.0,0.0,0.8500000238418579,0.08773,0.8691613
45.0,0.0,0.0,0.8640000224113464,0.07791,1.0332131
46.0,0.0,0.0,0.8700000047683716,0.07535,1.0322894
47.0,0.0,0.0,0.8730000257492065,0.0736,1.042326
48.0,0.0,0.0,0.8740000128746033,0.07363,1.0205649
49.0,0.0,0.0,0.871999979019165,0.07468,1.0129935
50.0,0.0,0.0,0.8679999709129333,0.07773,0.9703569
51.0,0.0,0.0,0.8690000176429749,0.07646,0.9964462
52.0,0.0,0.0,0.875,0.07344,1.0275855
53.0,0.0,0.0,0.8709999918937683,0.07553,1.0008321
54.0,0.0,0.0,0.8709999918937683,0.0754,0.99927956
55.0,0.0,0.0,0.8669999837875366,0.0786,0.949206
56.0,0.0,0.0,0.8700000047683716,0.0763,0.9923073
57.0,0.0,0.0,0.8619999885559082,0.08074,0.94292426
58.0,0.0,0.0,0.8640000224113464,0.07969,0.9561712
59.0,0.0,0.0,0.8640000224113464,0.07954,0.95461875
60.0,0.0,0.0,0.8569999933242798,0.08384,0.8988311
61.0,0.0,0.0,0.8640000224113464,0.08036,0.9197039
62.0,0.0,0.0,0.8619999885559082,0.08181,0.89777964
63.0,0.0,0.0,0.8579999804496765,0.08409,0.8809628
64.0,0.0,0.0,0.8550000190734863,0.08636,0.8463351
65.0,0.0,0.0,0.859000027179718,0.08372,0.8748512
66.0,0.0,0.0,0.8370000123977661,0.09757,0.71854657
67.0,0.0,0.0,0.8899999856948853,0.06182,1.3432827
68.0,0.0,0.0,0.8889999985694885,0.06318,1.2672583
69.0,0.0,0.0,0.8240000009536743,0.10116,0.7918339
70.0,0.0,0.0,0.8230000138282776,0.10214,0.7679002
71.0,0.0,0.0,0.8309999704360962,0.09881,0.7488982
72.0,0.0,0.0,0.8309999704360962,0.09837,0.766736
73.0,0.0,0.0,0.8399999737739563,0.0935,0.8072698
74.0,0.0,0.0,0.8259999752044678,0.10125,0.7508701
75.0,0.0,0.0,0.8349999785423279,0.09617,0.786828
76.0,0.0,0.0,0.8379999995231628,0.09342,0.85012513
77.0,0.0,0.0,0.8330000042915344,0.09666,0.8097894
78.0,0.0,0.0,0.824999988079071,0.10056,0.80889314
79.0,0.0,0.0,0.8199999928474426,0.10377,0.7674779
80.0,0.0,0.0,0.8069999814033508,0.11019,0.74308455
81.0,0.0,0.0,0.8610000014305115,0.07881,1.0680968
82.0,0.0,0.0,0.8579999804496765,0.08058,1.0372342
83.0,0.0,0.0,0.8619999885559082,0.07874,1.0550561
84.0,0.0,0.0,0.8579999804496765,0.08101,1.0349852
85.0,0.0,0.0,0.8679999709129333,0.0753,1.0819247
86.0,0.0,0.0,0.8619999885559082,0.08003,0.9700917
87.0,0.0,0.0,0.871999979019165,0.07395,1.058004
88.0,0.0,0.0,0.8650000095367432,0.07808,1.0018752
89.0,0.0,0.0,0.8769999742507935,0.0712,1.0826907
90.0,0.0,0.0,0.8619999885559082,0.08122,0.9291772
91.0,0.0,0.0,0.8650000095367432,0.07959,0.9377856
92.0,0.0,0.0,0.8709999918937683,0.07629,0.97383267
93.0,0.0,0.0,0.871999979019165,0.07615,0.96707827
94.0,0.0,0.0,0.8730000257492065,0.07505,0.9866204
95.0,0.0,0.0,0.8730000257492065,0.07541,0.97371
96.0,0.0,0.0,0.8659999966621399,0.07928,0.9287289
97.0,0.0,0.0,0.8769999742507935,0.07294,1.0047661
98.0,0.0,0.0,0.8659999966621399,0.07996,0.9175429
99.0,0.0,0.0,0.8759999871253967,0.07325,1.0110636
100.0,0.0,0.0,0.8809999823570251,0.07019,1.0559905
101.0,0.0,0.0,0.8740000128746033,0.07496,0.9804799
