time,small,large,probability,intensity,dissimilarity
0.0,0.0,0.0,0.621999979019165,0.20954,0.93652403
1.0,0.0,0.0,0.6159999966621399,0.21303,0.92272913
2.0,0.0,0.0,0.6539999842643738,0.18909,1.1368674
3.0,0.0,0.0,0.6019999980926514,0.21738,0.9978878
4.0,0.0,0.0,0.6499999761581421,0.19242,1.0936235
5.0,0.0,0.0,0.6259999871253967,0.20622,0.9878265
6.0,0.0,0.0,0.6439999938011169,0.1951,1.0842301
7.0,0.0,0.0,0.6470000147819519,0.19523,1.044016
8.0,0.0,0.0,0.6470000147819519,0.19325,1.1070033
9.0,0.0,0.0,0.6420000195503235,0.19736,1.0445157
10.0,0.0,0.0,0.6190000176429749,0.20939,0.9903525
11.0,0.0,0.0,0.6480000019073486,0.19305,1.0972059
12.0,0.0,0.0,0.6010000109672546,0.2173,1.0208746
13.0,0.0,0.0,0.6169999837875366,0.20782,1.1000851
14.0,0.0,0.0,0.6140000224113464,0.20878,1.1109194
15.0,0.0,0.0,0.6230000257492065,0.20376,1.1421835
16.0,0.0,0.0,0.6420000195503235,0.19243,1.2627847
17.0,0.0,0.0,0.5979999899864197,0.21678,1.1006186
18.0,0.0,0.0,0.6110000014305115,0.20824,1.2243917
19.0,0.0,0.0,0.6129999756813049,0.20616,1.2795027
20.0,0.0,0.0,0.5960000157356262,0.21512,1.2303488
21.0,0.0,0.0,0.6209999918937683,0.20176,1.3094597
22.0,0.0,0.0,0.5899999737739563,0.21808,1.2202729
23.0,0.0,0.0,0.6019999980926514,0.21149,1.2668058
24.0,0.0,0.0,0.6330000162124634,0.1943,1.3982509
25.0,0.0,0.0,0.6209999918937683,0.20042,1.3875012
26.0,0.0,0.0,0.6019999980926514,0.21021,1.3692013
27.0,0.0,0.0,0.5979999899864197,0.21178,1.38187
28.0,0.0,0.0,0.5929999947547913,0.2143,1.399461
29.0,0.0,0.0,0.5789999961853027,0.2219,1.3460789
30.0,0.0,0.0,0.5830000042915344,0.21884,1.4228791
31.0,0.0,0.0,0.5600000023841858,0.23185,1.3037201
32.0,0.0,0.0,0.574999988079071,0.22391,1.3237884
33.0,0.0,0.0,0.5789999961853027,0.22201,1.3270334
34.0,0.0,0.0,0.5600000023841858,0.23144,1.3038576
35.0,0.0,0.0,0.5920000076293945,0.21459,1.3847282
36.0,0.0,0.0,0.5649999976158142,0.22943,1.2840549
37.0,0.0,0.0,0.5879999995231628,0.21739,1.3414088
38.0,0.0,0.0,0.5929999947547913,0.21373,1.4324702
39.0,0.0,0.0,0.593999981880188,0.21395,1.3573415
40.0,0.0,0.0,0.5929999947547913,0.21516,1.3078411
41.0,0.0,0.0,0.5669999718666077,0.2289,1.2643684
42.0,0.0,0.0,0.5860000252723694,0.21786,1.3709263
43.0,0.0,0.0,0.6620000004768372,0.18357,1.2299275
44.0,0.0,0.0,0.628000020980835,0.19698,1.4074872
45.0,0.0,0.0,0.609000027179718,0.20818,1.2717113
46.0,0.0,0.0,0.6169999837875366,0.20422,1.2844884
47.0,0.0,0.0,0.6349999904632568,0.19434,1.35412
48.0,0.0,0.0,0.6439999938011169,0.18934,1.3818216
49.0,0.0,0.0,0.6830000281333923,0.16901,1.460509
50.0,0.0,0.0,0.6389999985694885,0.19309,1.304621
51.0,0.0,0.0,0.6330000162124634,0.19647,1.2739421
52.0,0.0,0.0,0.6439999938011169,0.18983,1.3557234
53.0,0.0,0.0,0.6449999809265137,0.19085,1.270608
54.0,0.0,0.0,0.6340000033378601,0.19649,1.2446089
55.0,0.0,0.0,0.6100000143051147,0.20936,1.1631565
56.0,0.0,0.0,0.6700000166893005,0.17685,1.3554678
57.0,0.0,0.0,0.6150000095367432,0.20641,1.1940509
58.0,0.0,0.0,0.6269999742507935,0.19995,1.2291274
59.0,0.0,0.0,0.6000000238418579,0.21772,1.0035881
60.0,0.0,0.0,0.531000018119812,0.2585,0.7119414
61.0,0.0,0.0,0.6140000224113464,0.20723,1.1748292
62.0,0.0,0.0,0.6340000033378601,0.1971,1.2053728
63.0,0.0,0.0,0.6069999933242798,0.21246,1.0901048
64.0,0.0,0.0,0.6010000109672546,0.21456,1.1171392
65.0,0.0,0.0,0.6259999871253967,0.20208,1.1436268
66.0,0.0,0.0,0.6169999837875366,0.20711,1.1219206
67.0,0.0,0.0,0.5910000205039978,0.22322,0.96027637
68.0,0.0,0.0,0.5899999737739563,0.22182,1.0278807
69.0,0.0,0.0,0.5860000252723694,0.22671,0.9187006
70.0,0.0,0.0,0.6209999918937683,0.20572,1.0912793
71.0,0.0,0.0,0.5889999866485596,0.22704,0.8580004
72.0,0.0,0.0,0.6000000238418579,0.21856,0.97603506
73.0,0.0,0.0,0.5730000138282776,0.23488,0.8361635
74.0,0.0,0.0,0.593999981880188,0.22283,0.9183166
75.0,0.0,0.0,0.6039999723434448,0.2166,0.97513944
76.0,0.0,0.0,0.5569999814033508,0.2424,0.83455086
77.0,0.0,0.0,0.5830000042915344,0.2285,0.9028954
78.0,0.0,0.0,0.6039999723434448,0.21794,0.92248404
79.0,0.0,0.0,0.5929999947547913,0.22273,0.93971646
80.0,0.0,0.0,0.5889999866485596,0.22608,0.89096665
81.0,0.0,0.0,0.593999981880188,0.22211,0.93812335
82.0,0.0,0.0,0.6050000190734863,0.21699,0.94549656
83.0,0.0,0.0,0.5979999899864197,0.22152,0.8994078
84.0,0.0,0.0,0.5609999895095825,0.24021,0.8526164
85.0,0.0,0.0,0.6019999980926514,0.21852,0.94168216
86.0,0.0,0.0,0.5899999737739563,0.22453,0.9260605
87.0,0.0,0.0,0.5540000200271606,0.24286,0.8646753
88.0,0.0,0.0,0.5789999961853027,0.23039,0.9013043
89.0,0.0,0.0,0.5659999847412109,0.23663,0.8925032
90.0,0.0,0.0,0.5870000123977661,0.22611,0.9250236
91.0,0.0,0.0,0.5730000138282776,0.23296,0.9048505
92.0,0.0,0.0,0.5770000219345093,0.22993,0.9500073
93.0,0.0,0.0,0.5830000042915344,0.22651,0.9763149
94.0,0.0,0.0,0.5789999961853027,0.22888,0.95340097
95.0,0.0,0.0,0.578000009059906,0.22812,0.9995991
96.0,0.0,0.0,0.5429999828338623,0.24794,0.8804643
97.0,0.0,0.0,0.5450000166893005,0.24618,0.9028414
98.0,0.0,0.0,0.5559999942779541,0.24176,0.8713522
99.0,0.0,0.0,0.5189999938011169,0.25938,0.8760353
100.0,0.0,0.0,0.515999972820282,0.26193,0.8363996
101.0,0.0,0.0,0.5149999856948853,0.2618,0.86464953
102.0,0.0,0.0,0.515999972820282,0.2605,0.892598
103.0,0.0,0.0,0.5550000071525574,0.23974,0.9753872
104.0,0.0,0.0,0.531000018119812,0.25231,0.942902
105.0,0.0,0.0,0.5109999775886536,0.26558,0.79774797
106.0,0.0,0.0,0.5350000262260437,0.25099,0.92059374
107.0,0.0,0.0,0.4779999852180481,0.29361,0.42025486
