time,small,large,probability,intensity,dissimilarity
0.0,0.0,0.0,0.8009999990463257,0.13148,0.34055912
1.0,0.0,0.0,0.6069999933242798,0.28205,1.2245392
2.0,0.0,0.0,0.8360000252723694,0.10605,0.24010079
3.0,0.0,0.0,0.8090000152587891,0.12923,0.37322626
4.0,0.0,0.0,0.8510000109672546,0.09624,0.08276383
5.0,0.0,0.0,0.7170000076293945,0.15721,1.0028452
6.0,0.0,0.0,0.7419999837875366,0.139,1.196744
7.0,0.0,0.0,0.824999988079071,0.09909,0.77236855
8.0,0.0,0.0,0.7350000143051147,0.14583,1.0368801
9.0,0.0,0.0,0.8100000023841858,0.10597,0.8676082
10.0,0.0,0.0,0.9449999928474426,0.02976,1.7933553
11.0,0.0,0.0,0.7979999780654907,0.11839,0.6000439
12.0,0.0,0.0,0.7860000133514404,0.12572,0.5920562
13.0,0.0,0.0,0.8389999866485596,0.09552,0.53486
14.0,0.0,0.0,0.75,0.14771,0.65501547
15.0,0.0,0.0,0.7639999985694885,0.13817,0.6444849
16.0,0.0,0.0,0.7620000243186951,0.14091,0.6219726
17.0,0.0,0.0,0.7599999904632568,0.14137,0.64588535
18.0,0.0,0.0,0.7490000128746033,0.14849,0.6486781
19.0,0.0,0.0,0.75,0.14835,0.64022577
20.0,0.0,0.0,0.871999979019165,0.07231,0.8766405
21.0,0.0,0.0,0.8820000290870667,0.06716,0.82315046
22.0,0.0,0.0,0.878000020980835,0.06979,0.8161977
23.0,0.0,0.0,0.843999981880188,0.08909,0.7224354
24.0,0.0,0.0,0.8790000081062317,0.06943,0.7986086
25.0,0.0,0.0,0.8830000162124634,0.06557,0.9574981
26.0,0.0,0.0,0.8679999709129333,0.0748,0.8287283
27.0,0.0,0.0,0.8569999933242798,0.08047,0.88010746
28.0,0.0,0.0,0.8880000114440918,0.06916,0.46888447
29.0,0.0,0.0,0.9480000138282776,0.0306,1.221693
30.0,0.0,0.0,0.8679999709129333,0.08133,0.37033314
31.0,0.0,0.0,0.8989999890327454,0.06104,0.5853445
32.0,0.0,0.0,0.9110000133514404,0.05502,0.6011792
33.0,0.0,0.0,0.8500000238418579,0.09333,0.29174313
34.0,0.0,0.0,0.8980000019073486,0.06051,0.6491306
35.0,0.0,0.0,0.8579999804496765,0.08592,0.39654854
36.0,0.0,0.0,0.944000005722046,0.03293,1.1811187
37.0,0.0,0.0,0.9480000138282776,0.03024,1.2408241
38.0,0.0,0.0,0.9039999842643738,0.05858,0.585475
39.0,0.0,0.0,0.5899999737739563,0.25591,1.1333141
40.0,0.0,0.0,0.5830000042915344,0.28079,1.2182436
41.0,0.0,0.0,0.6110000014305115,0.24809,1.0732377
42.0,0.0,0.0,0.6349999904632568,0.23619,1.0002232
43.0,0.0,0.0,0.7599999904632568,0.13408,0.88862914
44.0,0.0,0.0,0.8040000200271606,0.10544,1.2039058
45.0,0.0,0.0,0.8420000076293945,0.08875,0.8672552
46.0,0.0,0.0,0.843999981880188,0.08867,0.76096
47.0,0.0,0.0,0.8019999861717224,0.11023,0.9018287
48.0,0.0,0.0,0.8159999847412109,0.10446,0.75104535
49.0,0.0,0.0,0.8579999804496765,0.07925,0.9643254
50.0,0.0,0.0,0.8960000276565552,0.06284,0.63359505
51.0,0.0,0.0,0.8859999775886536,0.06387,0.99076074
